ich,I
mit dem Hund Gassi gehen,äußerln gehen
minderwertige Ware;Trödel,Ramsch
Meerrettich,Kren
Mais,Kukuruz
leichtsinniger aber liebenswerter Mensch,Hallodri
Leckerbissen;Gustostück,Schmankerl
Lebensmittelkleinhändler,Greißler
Lauch,Porre
Lappen; billiges Kleid,Fetzn
Küsschen,Busserl
Käsekrainer,Eitrige
kränklich;krank,marod
Krankenwagen,Rettung
Kopfkissen,Polster
Konfitüre,Marmelad`
Knoblauch,Knofl
knackig;knusprig,resch
Knabe,Bua
Kloß,Knedl
kleines;bemitleidenswertes Wesen,Zwutschkerl
kleines Wirtshaus,Beisl
kleines Kind;Baby,Butzerl
kleiner Kasten;Fernsehapparat,Kastl
kleben,picken
Klebeetikett,Pickerl
Klebeband,Tixo
Kellner,Ober
Karussell,Ringelspiel
Kartoffel(n),Erdäpfel
Kaffee mit aufgeschäumter Milch,Melange
Kaffe im Glas mit Schlagobershaube,Einspänner
jetzt wird es dramatisch;ernst,ans Eingemachte gehen
jammern;nörgeln;klagen,raunzen
jammern,sudern
Injektion,Jaukerl
in Fett geschmorte Mehlspeisen;Kaiserschmarrn.,Schmarrn
Ich werde noch verrückt.,Ich wer a Laberl.
Ich gehe jetzt auf´s WC.,I geh pinkeln.
ich bin schon weg,I bin schon a Wolkn
Ich begrüße dich!,Grias di!
Ich auch,I a.
Hörnchen,Kipferl
häßlich,schiach
Hähnchen,Hendl
hinterlistiger Menschn,Wadlbeißer
Hausschuh,Patschen
Hausmeister,Hausbesorger
Halt' den Mund! Sei still!,Gusch!
Hackfleisch,Faschiert´s
habe die Ehre; höflicher Gruß sowie Ausruf des Erstaunens,Hawedehre!
großer Bauch,Wampe
gesünder geht es nicht,pumperlg'sund
Geräuchertes;Rauchfleisch,G´selcht´s
Germknödel;Dampfnudel;Mehlspeise,Buchtl
gemeiner;hinterhältiger Mensch,Gfrast
Geldtasche,Bersl
Geld,Marie
gekochtes;mageres Rindfleisch,Tafelspitz
Gehen wir!,Gemma!
gebürtig,waschecht
Fünfer,Fleck
Freund,Hawara
frech;vorlaut,goschert
Fliege;Schleife,Mascherl
Fleischkäse,Leberkaas
feuchter Schmutz;Schlamm,Gatsch
fescher Mann,Feschak
feines Hefegebäck,Brioche
faulenzen;nichts tun,tachinieren
Fahrscheinkontrollor in öffentlichen Verkehrsmitteln,Schwoarzkappler
essen,habern
ersklassig,leiwand
erbrechen;kotzen,speib`n
Eisschrank,Eiskoast`n
eine leichte Sache,a g´mahde Wiesn
ein wenig,bisserl
Eimer,Kibel
Edelkastanien,Maroni
dummer;unangenehmer Mensch (A so a Koffer),Koffer
dummer Mensch,Depperta
dumm,deppert
Du Alter!,Oida!
dick,blad
denunzieren,vernadern
das ist gar nicht so einfach,Des is ka Lercherl.
Burenwurst,Burenhäudl
Burenwurst,Haaße
Bulette,Fleischlaberl
Brötchen,Semmel
Brösel/Ei/Mehl-Kruste für Wiener Schnitzel,Panier
Brotaufstrich aus Topfen und Gewürzen,Liptauer
Brotanschnitt,Bugel
Bonbon,Zuckerl
Blutwurst,Blunzn
Blumenkohl,Karfiol
Bier/Limonaden-Mischung,Radler
Bettlaken,Laintichl
Bett,Hapfn
betrunken,fett
Beruhige dich! Mach nicht so ein Theater,Drah kan Fülm!
Berliner,Krapfen
belästigen;ärgern,sekkier`n
Beine,Haxn
Ausruf wenn etwas schlimmes passiert ist.,Jessas Maria
Auf Wiedersehen! Tschüß!,Baba!
auf die Nerven gehen,am Zaga gehen
arbeiten,hackln
Arbeit,Hackn
Apfelsaftschorle,Obi g´spritzt
Apfelsaft,Obi
Anschnitt oder das letzte Stück eines Brotlaibes oder Brotweckens;bestimmtes Stück Rindfleisch,Scherzl
Abschiedsgruß,Pfiat di!
abgetretene Schuhe,Latschen
Abfalleimer,Mistkibel
2 Liter Wein,Doppler
10 Gramm,Deka
(sich) langweilen,fadisieren
(sich) beklagen;leise vor sich hin schimpfen,motschkern
